
SatTrack V4.18.1.0 Shadow Analysis


Input file:

  Shadow.NUSTAR


Object:

  Object Name       : NUSTAR
  Object Number     : 99105
  Element Set Number: 999
  Reference Orbit   : 44844
  Element Set Epoch : 08-Sep-2020  2020/252  16:21:48.797 UTC
  Element Set Age   : 0.318 d
  Launch Date/Time  : 13-Jun-2012  2012/165  16:00:37.000 UTC
  Central Body      : Earth
  Orbit Geometry    : 617.492 km x 601.199 km at 6.024 deg
  Avrg Nodal Period : 96.493 min
  Propagation Model : SGP4


Shadow Statistics:

  Begin of Analysis Interval  : 09-Sep-2020  2020/253  00:00:00 UTC
  End of Analysis Interval    : 09-Oct-2020  2020/283  00:00:00 UTC
  Total Time Interval         : 30.000 d
  Time Resolution             : 10.000 s
  Shadow Entry/Exit Condition : 100.0 % of Full Sunlight
  Number of Shadow Periods    : 448
  Shortest Gap Between Shadows: 61.000 min
  Longest Gap Between Shadows : 61.333 min


  Shortest Penumbra   Longest Penumbra   Average Penumbra   Total Penumbra   Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           0.0                0.2                0.1               62.0                  0.1


    Shortest Umbra      Longest Umbra      Average Umbra      Total Umbra    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           4.7               35.5               35.2            15770.3                 36.5


   Shortest Shadow     Longest Shadow     Average Shadow     Total Shadow    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           4.8               35.5               35.3            15832.3                 36.6


Shadow Periods:

     Shadow Begin    -       Shadow End          Entry Penumbra   Exit Penumbra   Total Penumbra     Total Umbra     Total Shadow      Depth

  2020/253 00:00:00  -  2020/253 00:32:50  UTC        0.0 min         0.0 min          0.0 min          32.8 min         32.8 min      100.0 %
  2020/253 01:34:00  -  2020/253 02:09:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/253 03:10:40  -  2020/253 03:46:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/253 04:47:20  -  2020/253 05:22:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/253 06:23:50  -  2020/253 06:59:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/253 08:00:30  -  2020/253 08:36:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/253 09:37:10  -  2020/253 10:12:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/253 11:13:50  -  2020/253 11:49:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/253 12:50:30  -  2020/253 13:25:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/253 14:27:10  -  2020/253 15:02:30  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/253 16:03:40  -  2020/253 16:39:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/253 17:40:20  -  2020/253 18:15:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/253 19:17:00  -  2020/253 19:52:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/253 20:53:40  -  2020/253 21:29:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/253 22:30:20  -  2020/253 23:05:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/254 00:07:00  -  2020/254 00:42:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/254 01:43:40  -  2020/254 02:19:00  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/254 03:20:10  -  2020/254 03:55:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/254 04:56:50  -  2020/254 05:32:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/254 06:33:30  -  2020/254 07:09:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/254 08:10:10  -  2020/254 08:45:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/254 09:46:50  -  2020/254 10:22:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/254 11:23:30  -  2020/254 11:58:50  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/254 13:00:00  -  2020/254 13:35:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/254 14:36:40  -  2020/254 15:12:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/254 16:13:20  -  2020/254 16:48:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/254 17:50:00  -  2020/254 18:25:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/254 19:26:40  -  2020/254 20:02:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/254 21:03:20  -  2020/254 21:38:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/254 22:39:50  -  2020/254 23:15:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 00:16:30  -  2020/255 00:52:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 01:53:10  -  2020/255 02:28:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 03:29:50  -  2020/255 04:05:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/255 05:06:30  -  2020/255 05:41:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/255 06:43:10  -  2020/255 07:18:30  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/255 08:19:40  -  2020/255 08:55:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 09:56:20  -  2020/255 10:31:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 11:33:00  -  2020/255 12:08:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 13:09:40  -  2020/255 13:45:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/255 14:46:20  -  2020/255 15:21:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/255 16:23:00  -  2020/255 16:58:20  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/255 17:59:30  -  2020/255 18:35:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 19:36:10  -  2020/255 20:11:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 21:12:50  -  2020/255 21:48:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 22:49:30  -  2020/255 23:24:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 00:26:10  -  2020/256 01:01:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 02:02:50  -  2020/256 02:38:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 03:39:30  -  2020/256 04:14:50  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/256 05:16:00  -  2020/256 05:51:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 06:52:40  -  2020/256 07:28:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 08:29:20  -  2020/256 09:04:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 10:06:00  -  2020/256 10:41:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 11:42:40  -  2020/256 12:18:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 13:19:20  -  2020/256 13:54:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/256 14:55:50  -  2020/256 15:31:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 16:32:30  -  2020/256 17:08:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 18:09:10  -  2020/256 18:44:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
