
SatTrack V4.18.1.0 Shadow Analysis


Input file:

  Shadow.NUSTAR


Object:

  Object Name       : NUSTAR
  Object Number     : 99105
  Element Set Number: 999
  Reference Orbit   : 48254
  Element Set Epoch : 25-Apr-2021  2021/115  04:05:07.406 UTC
  Element Set Age   : 0.000 d
  Launch Date/Time  : 13-Jun-2012  2012/165  16:00:37.000 UTC
  Central Body      : Earth
  Orbit Geometry    : 616.630 km x 600.986 km at 6.030 deg
  Avrg Nodal Period : 96.481 min
  Propagation Model : SGP4


Shadow Statistics:

  Begin of Analysis Interval  : 25-Apr-2021  2021/115  04:05:10 UTC
  End of Analysis Interval    : 25-May-2021  2021/145  04:05:07 UTC
  Total Time Interval         : 30.000 d
  Time Resolution             : 10.000 s
  Shadow Entry/Exit Condition : 100.0 % of Full Sunlight
  Number of Shadow Periods    : 448
  Shortest Gap Between Shadows: 61.500 min
  Longest Gap Between Shadows : 62.333 min


  Shortest Penumbra   Longest Penumbra   Average Penumbra   Total Penumbra   Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           0.0                0.2                0.1               63.8                  0.1


    Shortest Umbra      Longest Umbra      Average Umbra      Total Umbra    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

          11.2               35.0               34.5            15475.8                 35.8


   Shortest Shadow     Longest Shadow     Average Shadow     Total Shadow    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

          11.3               35.2               34.7            15539.7                 36.0


Shadow Periods:

     Shadow Begin    -       Shadow End          Entry Penumbra   Exit Penumbra   Total Penumbra     Total Umbra     Total Shadow      Depth

  2021/115 04:05:10  -  2021/115 04:35:10  UTC        0.0 min         0.0 min          0.0 min          30.0 min         30.0 min      100.0 %
  2021/115 05:37:00  -  2021/115 06:11:50  UTC        0.2 min         0.0 min          0.2 min          34.7 min         34.8 min      100.0 %
  2021/115 07:13:40  -  2021/115 07:48:30  UTC        0.2 min         0.0 min          0.2 min          34.7 min         34.8 min      100.0 %
  2021/115 08:50:20  -  2021/115 09:25:00  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/115 10:27:00  -  2021/115 11:01:40  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/115 12:03:40  -  2021/115 12:38:20  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/115 13:40:20  -  2021/115 14:15:00  UTC        0.0 min         0.0 min          0.0 min          34.7 min         34.7 min      100.0 %
  2021/115 15:16:50  -  2021/115 15:51:40  UTC        0.2 min         0.0 min          0.2 min          34.7 min         34.8 min      100.0 %
  2021/115 16:53:30  -  2021/115 17:28:10  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/115 18:30:10  -  2021/115 19:04:50  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/115 20:06:50  -  2021/115 20:41:30  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/115 21:43:30  -  2021/115 22:18:10  UTC        0.0 min         0.0 min          0.0 min          34.7 min         34.7 min      100.0 %
  2021/115 23:20:00  -  2021/115 23:54:50  UTC        0.2 min         0.0 min          0.2 min          34.7 min         34.8 min      100.0 %
  2021/116 00:56:40  -  2021/116 01:31:20  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 02:33:20  -  2021/116 03:08:00  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 04:10:00  -  2021/116 04:44:40  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 05:46:40  -  2021/116 06:21:20  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 07:23:10  -  2021/116 07:57:50  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 08:59:50  -  2021/116 09:34:30  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 10:36:30  -  2021/116 11:11:10  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 12:13:10  -  2021/116 12:47:50  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 13:49:50  -  2021/116 14:24:30  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 15:26:30  -  2021/116 16:01:00  UTC        0.0 min         0.0 min          0.0 min          34.5 min         34.5 min      100.0 %
  2021/116 17:03:00  -  2021/116 17:37:40  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 18:39:40  -  2021/116 19:14:20  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 20:16:20  -  2021/116 20:51:00  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 21:53:00  -  2021/116 22:27:40  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/116 23:29:40  -  2021/117 00:04:10  UTC        0.0 min         0.0 min          0.0 min          34.5 min         34.5 min      100.0 %
  2021/117 01:06:10  -  2021/117 01:40:50  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 02:42:50  -  2021/117 03:17:30  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 04:19:30  -  2021/117 04:54:10  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 05:56:10  -  2021/117 06:30:40  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/117 07:32:50  -  2021/117 08:07:20  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/117 09:09:20  -  2021/117 09:44:00  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 10:46:00  -  2021/117 11:20:40  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 12:22:40  -  2021/117 12:57:20  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 13:59:20  -  2021/117 14:33:50  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/117 15:36:00  -  2021/117 16:10:30  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/117 17:12:40  -  2021/117 17:47:10  UTC        0.0 min         0.0 min          0.0 min          34.5 min         34.5 min      100.0 %
  2021/117 18:49:10  -  2021/117 19:23:50  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 20:25:50  -  2021/117 21:00:30  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/117 22:02:30  -  2021/117 22:37:00  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/117 23:39:10  -  2021/118 00:13:40  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 01:15:50  -  2021/118 01:50:20  UTC        0.0 min         0.0 min          0.0 min          34.5 min         34.5 min      100.0 %
  2021/118 02:52:20  -  2021/118 03:27:00  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/118 04:29:00  -  2021/118 05:03:40  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/118 06:05:40  -  2021/118 06:40:10  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 07:42:20  -  2021/118 08:16:50  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 09:19:00  -  2021/118 09:53:30  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 10:55:30  -  2021/118 11:30:10  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/118 12:32:10  -  2021/118 13:06:50  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/118 14:08:50  -  2021/118 14:43:20  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 15:45:30  -  2021/118 16:20:00  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 17:22:10  -  2021/118 17:56:40  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 18:58:50  -  2021/118 19:33:20  UTC        0.0 min         0.0 min          0.0 min          34.5 min         34.5 min      100.0 %
  2021/118 20:35:20  -  2021/118 21:10:00  UTC        0.2 min         0.0 min          0.2 min          34.5 min         34.7 min      100.0 %
  2021/118 22:12:00  -  2021/118 22:46:30  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/118 23:48:40  -  2021/119 00:23:10  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/119 01:25:20  -  2021/119 01:59:50  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/119 03:02:00  -  2021/119 03:36:30  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/119 04:38:30  -  2021/119 05:13:00  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/119 06:15:10  -  2021/119 06:49:40  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
  2021/119 07:51:50  -  2021/119 08:26:20  UTC        0.2 min         0.0 min          0.2 min          34.3 min         34.5 min      100.0 %
